Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
S00.01.01 Check home page,1,1254,1254,1254,0.00,0.000%,.79745,359.02,0.91,461020.0
S00.01 Check home page,1,1254,1254,1254,0.00,0.000%,.79681,358.74,0.91,461020.0
S00.02.01 Check auth page,1,24,24,24,0.00,0.000%,41.66667,52.29,17.05,1285.0
S00.02 Check auth page,1,24,24,24,0.00,0.000%,41.66667,52.29,17.05,1285.0
S00.03.01 Login,89,1129,553,2171,238.76,1.124%,1.29585,200.30,1.55,158277.5
S00.03.02 Get Notification Number,1,28,28,28,0.00,0.000%,35.71429,7.92,26.79,227.0
S00.03.03 Get Number New Messages,1,30,30,30,0.00,0.000%,33.33333,7.19,25.29,221.0
S00.03.04 Get All Custom Domain List,1,27,27,27,0.00,0.000%,37.03704,8.14,29.48,225.0
S00.03.05 Get Category List,1,77,77,77,0.00,0.000%,12.98701,38.58,9.88,3042.0
S00.03 Login,1,853,853,853,0.00,0.000%,1.17096,179.95,5.00,157365.0
Login Controller,1,2131,2131,2131,0.00,0.000%,.46882,283.71,2.73,619670.0
S01.01 Search Post Ntech,246,59,26,937,98.58,0.000%,3.66524,0.85,1.32,238.0
S02.01 Create Draft,52,57,29,416,60.12,0.000%,.77767,3.86,0.63,5077.8
S02.02 Save Draft,52,52,33,199,27.15,0.000%,.77862,4.08,0.82,5364.8
S05.01 Down Vote In Post,644,103,38,1474,123.66,0.155%,9.55745,3.77,8.45,403.4
Down Vote Post Controller,755,177,38,1590,224.20,0.265%,11.20311,4.16,9.91,380.6
S04.01 Up Vote In Post,633,105,21,1319,131.28,0.158%,9.39099,3.70,8.30,403.4
Up Vote Post Controller,633,105,21,1319,131.28,0.158%,9.39086,3.70,8.30,403.4
S01.02 Search Tag Ntech,246,156,76,1341,135.68,0.407%,3.65381,298.89,1.31,83764.3
S01.02 Search User Ntech,245,55,29,642,74.47,0.000%,3.66552,1.54,1.32,431.0
Search Controller,245,270,137,1744,191.72,0.000%,3.65192,302.30,3.94,84764.0
S02.03 Create Post,52,117,61,368,65.34,0.000%,.77822,4.18,0.86,5498.2
S02.04 Delete Draft,52,59,31,352,60.89,0.000%,.77919,3.96,0.69,5201.2
S06.01 Up Vote Comment Controller,119,565,188,1634,157.39,0.840%,1.76589,0.43,1.56,246.5
Up Vote Comment Controller,119,565,188,1634,157.39,0.840%,1.76584,0.43,1.56,246.5
S07.01 Down Vote In Comment,111,605,326,1590,195.01,0.901%,1.64710,0.40,1.46,248.1
S02.05 Get Post After Post,52,276,142,589,95.35,0.000%,.77704,4.90,0.60,6454.4
