Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
S00.01.01 Check home page,1,1034,1034,1034,1034,1034,1034,1034,0.000%,.96712,447.89,1.10
S00.01 Check home page,1,1034,1034,1034,1034,1034,1034,1034,0.000%,.96618,447.46,1.10
S00.02.01 Check auth page,1,6,6,6,6,6,6,6,0.000%,166.66667,209.47,68.20
S00.02 Check auth page,1,6,6,6,6,6,6,6,0.000%,166.66667,209.47,68.20
S00.03.01 Login,1,588,588,588,588,588,588,588,0.000%,1.70068,314.52,2.05
S00.03.02 Get Notification Number,1,8,8,8,8,8,8,8,0.000%,125.00000,27.71,93.75
S00.03.03 Get Number New Messages,1,9,9,9,9,9,9,9,0.000%,111.11111,23.98,84.31
S00.03.04 Get All Custom Domain List,1,40,40,40,40,40,40,40,0.000%,25.00000,5.49,19.90
S00.03.05 Get Category List,1,24,24,24,24,24,24,24,0.000%,41.66667,123.78,31.70
S00.03 Login,1,669,669,669,669,669,669,669,0.000%,1.48810,280.60,6.36
Login Controller,1,1709,1709,1709,1709,1709,1709,1709,0.000%,.58377,381.17,3.40
S02.01 Create Draft,1,35,35,35,35,35,35,35,0.000%,28.57143,53.24,23.33
S01.01 Search Tag,1,44,44,44,44,44,44,44,0.000%,22.72727,8.77,8.21
Search Controller,1,44,44,44,44,44,44,44,0.000%,22.22222,8.57,8.03
S02.02 Save Draft,1,13,13,13,13,13,13,13,0.000%,76.92308,164.89,81.20
S02.03 Create Post,1,72,72,72,72,72,72,72,0.000%,13.88889,31.91,15.33
S02.04 Delete Draft,1,18,18,18,18,18,18,18,0.000%,55.55556,111.55,49.21
S02.05 Get Post After Post,1,122,122,122,122,122,122,122,0.000%,8.19672,47.48,6.35
S02.06 Get Comment In Post,1,10,10,10,10,10,10,10,0.000%,100.00000,26.86,78.03
S02.07 Get Emoji In Post,1,4,4,4,4,4,4,4,0.000%,250.00000,774.66,83.98
S02.08 Get Random Post,1,105,105,105,105,105,105,105,0.000%,9.52381,138.20,3.26
Create Post Controller,1,379,379,379,379,379,379,379,0.000%,2.61097,83.51,15.91
S02.09 Get Post By Slug,1,115,115,115,115,115,115,115,0.000%,8.69565,50.60,6.73
S02.10 Delete Post,1,24,24,24,24,24,24,24,0.000%,41.66667,20.96,34.67
Delete Post Controller,1,139,139,139,139,139,139,139,0.000%,7.14286,45.16,11.47
S00.04.01 Logout ,1,168,168,168,168,168,168,168,0.000%,5.95238,32.50,13.22
S00.04.02 User Signout,1,97,97,97,97,97,97,97,0.000%,10.30928,50.99,18.24
S00.04.03 Check Global Identity,1,82,82,82,82,82,82,82,0.000%,12.19512,49.33,10.89
S00.04.04 Get Random Post,1,89,89,89,89,89,89,89,0.000%,11.23596,95.83,3.84
S00.04 Logout,1,436,436,436,436,436,436,436,0.000%,2.28833,52.59,11.96
Logout Controller,1,436,436,436,436,436,436,436,0.000%,2.28833,52.59,11.96
TOTAL,31,243,82,669,1034,1709,4,1709,0.000%,10.98901,746.24,17.46
