Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
S00.01.01 Check home page,1,1254,1254,1254,1254,1254,1254,1254,0.000%,.79745,359.02,0.91
S00.01 Check home page,1,1254,1254,1254,1254,1254,1254,1254,0.000%,.79681,358.74,0.91
S00.02.01 Check auth page,1,24,24,24,24,24,24,24,0.000%,41.66667,52.29,17.05
S00.02 Check auth page,1,24,24,24,24,24,24,24,0.000%,41.66667,52.29,17.05
S00.03.01 Login,89,1129,1096,1361,1559,2019,553,2171,1.124%,1.29585,200.30,1.55
S00.03.02 Get Notification Number,1,28,28,28,28,28,28,28,0.000%,35.71429,7.92,26.79
S00.03.03 Get Number New Messages,1,30,30,30,30,30,30,30,0.000%,33.33333,7.19,25.29
S00.03.04 Get All Custom Domain List,1,27,27,27,27,27,27,27,0.000%,37.03704,8.14,29.48
S00.03.05 Get Category List,1,77,77,77,77,77,77,77,0.000%,12.98701,38.58,9.88
S00.03 Login,1,853,853,853,853,853,853,853,0.000%,1.17096,179.95,5.00
Login Controller,1,2131,2131,2131,2131,2131,2131,2131,0.000%,.46882,283.71,2.73
S01.01 Search Post Ntech,246,59,33,92,157,578,26,937,0.000%,3.66524,0.85,1.32
S02.01 Create Draft,52,57,39,105,155,173,29,416,0.000%,.77767,3.86,0.63
S02.02 Save Draft,52,52,44,75,87,120,33,199,0.000%,.77862,4.08,0.82
S05.01 Down Vote In Post,644,103,63,205,316,622,38,1474,0.155%,9.55745,3.77,8.45
Down Vote Post Controller,755,177,69,532,645,977,38,1590,0.265%,11.20311,4.16,9.91
S04.01 Up Vote In Post,633,105,65,188,321,744,21,1319,0.158%,9.39099,3.70,8.30
Up Vote Post Controller,633,105,65,188,321,744,21,1319,0.158%,9.39086,3.70,8.30
S01.02 Search Tag Ntech,246,156,117,237,343,786,76,1341,0.407%,3.65381,298.89,1.31
S01.02 Search User Ntech,245,55,36,72,138,529,29,642,0.000%,3.66552,1.54,1.32
Search Controller,245,270,204,398,707,939,137,1744,0.000%,3.65192,302.30,3.94
S02.03 Create Post,52,117,94,190,224,337,61,368,0.000%,.77822,4.18,0.86
S02.04 Delete Draft,52,59,41,81,102,334,31,352,0.000%,.77919,3.96,0.69
S06.01 Up Vote Comment Controller,119,565,545,721,791,1161,188,1634,0.840%,1.76589,0.43,1.56
Up Vote Comment Controller,119,565,545,721,791,1161,188,1634,0.840%,1.76584,0.43,1.56
S07.01 Down Vote In Comment,111,605,573,756,977,1327,326,1590,0.901%,1.64710,0.40,1.46
